subject ID,trial,rod origin,frame origin,selection
chocho,0,20,-18,20.00001
chocho,1,340,18,340
chocho,2,340,-18,340
chocho,3,20,18,20.00001
subject ID,trial,rod origin,frame origin,selection
chocho,0,340,18,325.4637
chocho,1,340,-18,342.0409
chocho,2,20,-18,43.31758
chocho,3,20,18,11.1366
subject ID,trial,rod origin,frame origin,selection
